product_id,product_name
product_1,Wireless Mouse
product_2,Mechanical Keyboard
product_3,USB-C Charger 30W
product_4,Noise Cancelling Headphones
product_5,Gaming Monitor 24-inch
product_6,Smartwatch Series A
product_7,Bluetooth Speaker Mini
product_8,Laptop Stand Aluminium
product_9,Portable SSD 1TB
product_10,Webcam HD 1080p
product_11,Wireless Earbuds
product_12,4K Action Camera
product_13,Graphic Tablet Small
product_14,LED Desk Lamp
product_15,Smartphone Tripod
product_16,Gaming Chair
product_17,Laptop Sleeve 15-inch
product_18,Microphone USB
product_19,HDMI Cable 2m
product_20,Bluetooth Keyboard
product_21,Wireless Router AC1200
product_22,Smart Home Hub
product_23,Noise Filter Microphone
product_24,VR Headset Basic
product_25,Fitness Band
product_26,Portable Projector
product_27,Phone Holder Car
product_28,Smart Bulb RGB
product_29,Gaming Mousepad XL
product_30,USB Hub 4-Port
product_1,Wireless Mouse
product_2,Mechanical Keyboard
product_3,USB-C Charger 30W
product_4,Noise Cancelling Headphones
product_5,Gaming Monitor 24-inch
product_6,Smartwatch Series A
product_7,Bluetooth Speaker Mini
product_8,Laptop Stand Aluminium
product_9,Portable SSD 1TB
product_10,Webcam HD 1080p
product_11,Wireless Earbuds
product_12,4K Action Camera
product_13,Graphic Tablet Small
product_14,LED Desk Lamp
product_15,Smartphone Tripod
product_16,Gaming Chair
product_17,Laptop Sleeve 15-inch
product_18,Microphone USB
product_19,HDMI Cable 2m
product_20,Bluetooth Keyboard
product_21,Wireless Router AC1200
product_22,Smart Home Hub
product_23,Noise Filter Microphone
product_24,VR Headset Basic
product_25,Fitness Band
product_26,Portable Projector
product_27,Phone Holder Car
product_28,Smart Bulb RGB
product_29,Gaming Mousepad XL
product_30,USB Hub 4-Port
product_1,Wireless Mouse
product_2,Mechanical Keyboard
product_3,USB-C Charger 30W
product_4,Noise Cancelling Headphones
product_5,Gaming Monitor 24-inch
product_6,Smartwatch Series A
product_7,Bluetooth Speaker Mini
product_8,Laptop Stand Aluminium
product_9,Portable SSD 1TB
product_10,Webcam HD 1080p
product_11,Wireless Earbuds
product_12,4K Action Camera
product_13,Graphic Tablet Small
product_14,LED Desk Lamp
product_15,Smartphone Tripod
product_16,Gaming Chair
product_17,Laptop Sleeve 15-inch
product_18,Microphone USB
product_19,HDMI Cable 2m
product_20,Bluetooth Keyboard
product_21,Wireless Router AC1200
product_22,Smart Home Hub
product_23,Noise Filter Microphone
product_24,VR Headset Basic
product_25,Fitness Band
product_26,Portable Projector
product_27,Phone Holder Car
product_28,Smart Bulb RGB
product_29,Gaming Mousepad XL
product_30,USB Hub 4-Port
